episode_id,underlying,denomination,sizing,exit_mode,entry_ts,exit_ts,long_symbol,short_symbol,T1,T2,qty_long,qty_short,entry_long_price,entry_short_price,exit_long_price,exit_short_price,entry_cash,exit_cash,violation_size,gross_pnl,costs,net_pnl,holding_seconds,settled_at_expiry,resolved,note
1746c58b2b8a3ee1,SPX,T1,capped,reversion,2026-08-31T15:41:43,2026-09-01T11:32:24,SPX261120C06740000,SPX261120C06760000,2026-11-20,2026-12-18,1.000000,1.000000,1012.1100,1026.0990,1004.2900,985.6800,13.989000,18.610000,22184.631660,3259.90,0.00,3259.90,71441,0,1,
1746c58b2b8a3ee1,SPX,K2,capped,reversion,2026-08-31T15:41:43,2026-09-01T11:32:24,SPX261218C06770000,SPX261120C06760000,2026-11-20,2026-12-18,1.000000,1.000000,1045.2700,1026.0990,993.8800,985.6800,-19.171000,8.200000,22184.631660,-1097.10,0.00,-1097.10,71441,0,1,
e5cbbf57705e7159,SPX,T1,capped,reversion,2026-08-31T15:51:55,2026-09-01T11:32:24,SPX261120C07255000,SPX261120C07370000,2026-11-20,2026-12-18,1.000000,1.000000,553.5900,471.1400,535.1800,430.0900,-82.450000,105.090000,6838.703900,2264.00,0.00,2264.00,70829,0,1,
e5cbbf57705e7159,SPX,K2,capped,reversion,2026-08-31T15:51:55,2026-09-01T11:32:24,SPX261218C07385000,SPX261120C07370000,2026-11-20,2026-12-18,1.000000,1.000000,493.1100,471.1400,478.6900,430.0900,-21.970000,48.600000,6838.703900,2663.00,0.00,2663.00,70829,0,1,
723b98354f9c665b,SPX,T1,capped,reversion,2026-08-31T15:51:55,2026-09-01T11:32:24,SPX261120C07255000,SPX261120C07310000,2026-11-20,2026-12-18,1.000000,1.000000,553.5900,522.4090,535.1800,478.0400,-31.181000,57.140000,6791.115280,2595.90,0.00,2595.90,70829,0,1,
723b98354f9c665b,SPX,K2,capped,reversion,2026-08-31T15:51:55,2026-09-01T11:32:24,SPX261218C07325000,SPX261120C07310000,2026-11-20,2026-12-18,1.000000,1.000000,548.2000,522.4090,516.6790,478.0400,-25.791000,38.639000,6791.115280,1284.80,0.00,1284.80,70829,0,1,
d711f1b292b55add,SPX,T1,capped,reversion,2026-08-31T15:57:01,2026-09-01T11:32:24,SPX261120C07640000,SPX261120C07665000,2026-11-20,2026-12-18,1.000000,1.000000,256.2400,247.0700,236.0900,222.7700,-9.170000,13.320000,1798.391600,415.00,0.00,415.00,70523,0,1,
d711f1b292b55add,SPX,K2,capped,reversion,2026-08-31T15:57:01,2026-09-01T11:32:24,SPX261218C07680000,SPX261120C07665000,2026-11-20,2026-12-18,1.000000,1.000000,280.5100,247.0700,256.1200,222.7700,-33.440000,33.350000,1798.391600,-9.00,0.00,-9.00,70523,0,1,
39b19e089297f98f,SPX,T1,capped,reversion,2026-08-31T15:57:01,2026-09-01T11:32:24,SPX261120C06670000,SPX261120C06760000,2026-11-20,2026-12-18,1.000000,1.000000,1086.1900,1031.0000,1080.1000,985.6800,-55.190000,94.420000,27160.430500,3923.00,0.00,3923.00,70523,0,1,
39b19e089297f98f,SPX,K2,capped,reversion,2026-08-31T15:57:01,2026-09-01T11:32:24,SPX261218C06775000,SPX261120C06760000,2026-11-20,2026-12-18,1.000000,1.000000,1049.0500,1031.0000,1003.6100,985.6800,-18.050000,17.930000,27160.430500,-12.00,0.00,-12.00,70523,0,1,
26732a51636e74c7,SPX,T1,capped,reversion,2026-08-31T15:57:01,2026-09-01T11:32:24,SPX261120C07435000,SPX261120C07515000,2026-11-20,2026-12-18,1.000000,1.000000,408.8900,354.3000,385.2400,324.0700,-54.590000,61.170000,3354.986400,658.00,0.00,658.00,70523,0,1,
26732a51636e74c7,SPX,K2,capped,reversion,2026-08-31T15:57:01,2026-09-01T11:32:24,SPX261218C07530000,SPX261120C07515000,2026-11-20,2026-12-18,1.000000,1.000000,383.6400,354.3000,353.9400,324.0700,-29.340000,29.870000,3354.986400,53.00,0.00,53.00,70523,0,1,
6d9665a9a2292b1e,SPX,T1,capped,reversion,2026-09-01T11:27:19,2026-09-01T11:32:24,SPX261120C07650000,SPX261120C07690000,2026-11-20,2026-12-18,1.000000,1.000000,224.0000,205.7900,227.9900,202.0900,-18.210000,25.900000,1349.087500,769.00,0.00,769.00,305,0,1,
6d9665a9a2292b1e,SPX,K2,capped,reversion,2026-09-01T11:27:19,2026-09-01T11:32:24,SPX261218C07705000,SPX261120C07690000,2026-11-20,2026-12-18,1.000000,1.000000,240.4200,205.7900,241.6400,202.0900,-34.630000,39.550000,1349.087500,492.00,0.00,492.00,305,0,1,
266aa5d901ceac73,SPX,T1,capped,reversion,2026-09-01T11:27:19,2026-09-01T11:32:24,SPX261120C06775000,SPX261120C06825000,2026-11-20,2026-12-18,1.000000,1.000000,946.2300,928.3100,953.9700,916.8800,-17.920000,37.090000,19220.448000,1917.00,0.00,1917.00,305,0,1,
266aa5d901ceac73,SPX,K2,capped,reversion,2026-09-01T11:27:19,2026-09-01T11:32:24,SPX261218C06840000,SPX261120C06825000,2026-11-20,2026-12-18,1.000000,1.000000,949.8200,928.3100,930.7500,916.8800,-21.510000,13.870000,19220.448000,-764.00,0.00,-764.00,305,0,1,
cbbcd2844311f7a5,SPX,T1,capped,reversion,2026-09-01T11:27:19,2026-09-01T11:32:24,SPX261016C06410000,SPX261016C06540000,2026-10-16,2026-12-18,1.000000,1.000000,1253.1500,1164.6600,1255.1000,1160.8700,-88.490000,94.230000,30725.488800,574.00,0.00,574.00,305,0,1,
cbbcd2844311f7a5,SPX,K2,capped,reversion,2026-09-01T11:27:19,2026-09-01T11:32:24,SPX261218C06575000,SPX261016C06540000,2026-10-16,2026-12-18,1.000000,1.000000,1198.8600,1164.6600,1160.7800,1160.8700,-34.200000,-0.090000,30725.488800,-3429.00,0.00,-3429.00,305,0,1,
23712c40c6e096fe,SPX,T1,capped,reversion,2026-09-01T11:32:24,2026-09-01T11:37:28,SPX261120C07770000,SPX261120C07790000,2026-11-20,2026-12-18,1.000000,1.000000,156.9000,150.1000,157.4200,153.4000,-6.800000,4.020000,926.114000,-278.00,0.00,-278.00,304,0,1,
23712c40c6e096fe,SPX,K2,capped,reversion,2026-09-01T11:32:24,2026-09-01T11:37:28,SPX261218C07810000,SPX261120C07790000,2026-11-20,2026-12-18,1.000000,1.000000,182.9900,150.1000,189.4600,153.4000,-32.890000,36.060000,926.114000,317.00,0.00,317.00,304,0,1,
ce967286fcccee43,SPX,T1,capped,reversion,2026-09-01T11:32:24,2026-09-01T11:37:28,SPX261120C07655000,SPX261120C07685000,2026-11-20,2026-12-18,1.000000,1.000000,221.9400,210.8400,229.4900,209.9400,-11.100000,19.550000,1728.007200,845.00,0.00,845.00,304,0,1,
ce967286fcccee43,SPX,K2,capped,reversion,2026-09-01T11:32:24,2026-09-01T11:37:28,SPX261218C07705000,SPX261120C07685000,2026-11-20,2026-12-18,1.000000,1.000000,243.7800,210.8400,245.1100,209.9400,-32.940000,35.170000,1728.007200,223.00,0.00,223.00,304,0,1,
28de09cd8eff393b,SPX,T1,capped,reversion,2026-09-01T11:32:24,2026-09-01T11:37:28,SPX261120C07655000,SPX261120C07670000,2026-11-20,2026-12-18,1.000000,1.000000,221.9400,218.0600,229.4900,220.5000,-3.880000,8.990000,1746.787200,511.00,0.00,511.00,304,0,1,
28de09cd8eff393b,SPX,K2,capped,reversion,2026-09-01T11:32:24,2026-09-01T11:37:28,SPX261218C07690000,SPX261120C07670000,2026-11-20,2026-12-18,1.000000,1.000000,252.3100,218.0600,254.2000,220.5000,-34.250000,33.700000,1746.787200,-55.00,0.00,-55.00,304,0,1,
1cef392eba3d23d8,SPX,T1,capped,reversion,2026-09-01T11:32:24,2026-09-01T11:42:33,SPX261120C06830000,SPX261120C06925000,2026-11-20,2026-12-18,1.000000,1.000000,904.3100,839.4800,898.3900,835.5000,-64.830000,62.890000,17226.254000,-194.00,0.00,-194.00,609,0,1,
1cef392eba3d23d8,SPX,K2,capped,reversion,2026-09-01T11:32:24,2026-09-01T11:42:33,SPX261218C06940000,SPX261120C06925000,2026-11-20,2026-12-18,1.000000,1.000000,846.6000,839.4800,844.8800,835.5000,-7.120000,9.380000,17226.254000,226.00,0.00,226.00,609,0,1,
36349776ff61766f,SPX,T1,capped,reversion,2026-09-01T11:37:28,2026-09-01T11:42:33,SPX261016C07260000,SPX261016C07270000,2026-10-16,2026-11-20,1.000000,1.000000,458.4000,464.4100,465.7200,463.3200,6.010000,2.400000,5072.963100,841.00,0.00,841.00,305,0,1,
36349776ff61766f,SPX,K2,capped,reversion,2026-09-01T11:37:28,2026-09-01T11:42:33,SPX261120C07290000,SPX261016C07270000,2026-10-16,2026-11-20,1.000000,1.000000,499.4500,464.4100,498.9700,463.3200,-35.040000,35.650000,5072.963100,61.00,0.00,61.00,305,0,1,
9ae15a8a34dc062f,SPX,T1,capped,reversion,2026-09-01T11:37:28,2026-09-01T11:42:33,SPX261016C06275000,SPX261016C06330000,2026-10-16,2026-11-20,1.000000,1.000000,1390.3900,1380.0400,1441.0000,1385.7900,-10.350000,55.210000,42586.794800,4486.00,0.00,4486.00,305,0,1,
9ae15a8a34dc062f,SPX,K2,capped,reversion,2026-09-01T11:37:28,2026-09-01T11:42:33,SPX261120C06350000,SPX261016C06330000,2026-10-16,2026-11-20,1.000000,1.000000,1388.1600,1380.0400,1350.9700,1385.7900,-8.120000,-34.820000,42586.794800,-4294.00,0.00,-4294.00,305,0,1,
91776ffcb04ec4b6,SPX,T1,capped,reversion,2026-09-01T11:37:28,2026-09-01T11:42:33,SPX261120C06425000,SPX261120C06660000,2026-11-20,2026-12-18,1.000000,1.000000,1276.6900,1093.7500,1274.5900,1093.7000,-182.940000,180.890000,31244.591900,-205.00,0.00,-205.00,305,0,1,
91776ffcb04ec4b6,SPX,K2,capped,reversion,2026-09-01T11:37:28,2026-09-01T11:42:33,SPX261218C06670000,SPX261120C06660000,2026-11-20,2026-12-18,1.000000,1.000000,1113.7400,1093.7500,1084.7000,1093.7000,-19.990000,-9.000000,31244.591900,-2899.00,0.00,-2899.00,305,0,1,
cb7b784317928c4e,SPX,T1,capped,reversion,2026-09-01T11:37:28,2026-09-01T11:42:33,SPX261016C06275000,SPX261016C06380000,2026-10-16,2026-11-20,1.000000,1.000000,1390.3900,1323.9100,1441.0000,1336.1400,-66.480000,104.860000,40478.903000,3838.00,0.00,3838.00,305,0,1,
cb7b784317928c4e,SPX,K2,capped,reversion,2026-09-01T11:37:28,2026-09-01T11:42:33,SPX261120C06400000,SPX261016C06380000,2026-10-16,2026-11-20,1.000000,1.000000,1331.9700,1323.9100,1335.8000,1336.1400,-8.060000,-0.340000,40478.903000,-840.00,0.00,-840.00,305,0,1,
98ceae43577b26bf,SPX,T1,capped,reversion,2026-09-01T11:37:28,2026-09-01T11:42:33,SPX261016C06275000,SPX261016C06360000,2026-10-16,2026-11-20,1.000000,1.000000,1390.3900,1351.0000,1441.0000,1342.3800,-39.390000,98.620000,38922.563400,5923.00,0.00,5923.00,305,0,1,
98ceae43577b26bf,SPX,K2,capped,reversion,2026-09-01T11:37:28,2026-09-01T11:42:33,SPX261120C06375000,SPX261016C06360000,2026-10-16,2026-11-20,1.000000,1.000000,1360.9400,1351.0000,1325.1400,1342.3800,-9.940000,-17.240000,38922.563400,-2718.00,0.00,-2718.00,305,0,1,
b962316bd00b42d6,SPX,T1,capped,reversion,2026-09-01T11:42:33,2026-09-01T11:46:40,SPX261016C04000000,SPX261016C04200000,2026-10-16,2026-12-18,1.000000,1.000000,3611.0500,3523.4100,3698.7600,3491.6900,-87.640000,207.070000,307686.713100,11943.00,0.00,11943.00,247,0,1,
b962316bd00b42d6,SPX,K2,capped,reversion,2026-09-01T11:42:33,2026-09-01T11:46:40,SPX261218C04225000,SPX261016C04200000,2026-10-16,2026-12-18,1.000000,1.000000,3514.7100,3523.4100,3509.3800,3491.6900,8.700000,17.690000,307686.713100,2639.00,0.00,2639.00,247,0,1,
48ff89a28e92625e,SPX,T1,capped,reversion,2026-09-01T11:42:33,2026-09-01T11:46:40,SPX261120C07190000,SPX261120C07215000,2026-11-20,2026-12-18,1.000000,1.000000,579.9200,575.6000,579.8900,580.1000,-4.320000,-0.210000,7727.505600,-453.00,0.00,-453.00,247,0,1,
48ff89a28e92625e,SPX,K2,capped,reversion,2026-09-01T11:42:33,2026-09-01T11:46:40,SPX261218C07230000,SPX261120C07215000,2026-11-20,2026-12-18,1.000000,1.000000,593.5700,575.6000,600.9300,580.1000,-17.970000,20.830000,7727.505600,286.00,0.00,286.00,247,0,1,
bf2c92b3bb3d8a06,SPX,T1,capped,reversion,2026-09-01T11:42:33,2026-09-01T11:46:40,SPX261120C07230000,SPX261120C07335000,2026-11-20,2026-12-18,1.000000,1.000000,555.8900,474.1200,558.3800,478.8700,-81.770000,79.510000,5973.701800,-226.00,0.00,-226.00,247,0,1,
bf2c92b3bb3d8a06,SPX,K2,capped,reversion,2026-09-01T11:42:33,2026-09-01T11:46:40,SPX261218C07350000,SPX261120C07335000,2026-11-20,2026-12-18,1.000000,1.000000,495.4600,474.1200,499.5500,478.8700,-21.340000,20.680000,5973.701800,-66.00,0.00,-66.00,247,0,1,
9834553c7d172ea9,SPX,T1,capped,reversion,2026-09-01T11:42:33,2026-09-01T11:46:40,SPX261120C07355000,SPX261120C07390000,2026-11-20,2026-12-18,1.000000,1.000000,445.1300,429.4000,457.7200,429.9400,-15.730000,27.780000,4361.855300,1205.00,0.00,1205.00,247,0,1,
9834553c7d172ea9,SPX,K2,capped,reversion,2026-09-01T11:42:33,2026-09-01T11:46:40,SPX261218C07405000,SPX261120C07390000,2026-11-20,2026-12-18,1.000000,1.000000,458.3900,429.4000,468.7600,429.9400,-28.990000,38.820000,4361.855300,983.00,0.00,983.00,247,0,1,
e95450d0ea7cd6be,SPX,T1,capped,reversion,2026-09-01T11:42:33,2026-09-01T11:46:40,SPX261120C06730000,SPX261120C06900000,2026-11-20,2026-12-18,1.000000,1.000000,997.0000,866.8400,1015.3300,870.5700,-130.160000,144.760000,18414.932800,1460.00,0.00,1460.00,247,0,1,
e95450d0ea7cd6be,SPX,K2,capped,reversion,2026-09-01T11:42:33,2026-09-01T11:46:40,SPX261218C06910000,SPX261120C06900000,2026-11-20,2026-12-18,1.000000,1.000000,887.8600,866.8400,891.6400,870.5700,-21.020000,21.070000,18414.932800,5.00,0.00,5.00,247,0,1,
59503b7e9ac81749,SPX,T1,capped,reversion,2026-09-01T11:46:40,2026-09-01T11:51:44,SPX261120C07160000,SPX261120C07260000,2026-11-20,2026-12-18,1.000000,1.000000,608.3000,539.3400,619.8100,542.3700,-68.960000,77.440000,11639.720000,848.00,0.00,848.00,304,0,1,
